"valA";"valB";"valC";"valD";"dateA";"dtA";"dtB";"dtC";"dtD";"dtE";"dtF";"dateB";"dtG";"dtH";"dtI";"dtJ";"valE";"valF";"valG";"valH";"valI";"valJ";"valH";"valI";"valJ";"valK";"valL";"valM";"valN";"valO";"calc_DtBmDtA";"calc_DtCmDtB";"calc_DtDmDtC";"calc_DtFmDtD";"calc_DtHmDtG";"calc_DtImDtG";"calc_DtJmDtG";"calc_DtImDtH";"calc_DtJmDtI"
996.3;3430.7;929.9;1308.9;"1980-02-26";"1980-02-26 07:05:00";"1980-02-26 07:32:00";"1980-02-26 08:32:00";"1980-02-26 08:50:00";"1980-02-26 06:35:00";"1980-02-26 10:55:00";"1980-03-03";"1980-03-03 12:25:00";"1980-03-03 12:45:00";"1980-03-03 13:20:00";"1980-03-03 16:25:00";59.8;19.1;3279.8;35.4;1.7;6.7;25.2;6.1;2167.5;72.4;80.2;81.0;29.3;29.5;27;60;18;125;20;55;240;35;185
1010.2;3334.7;986.8;1388.9;"1980-02-26";"1980-02-26 09:40:00";"1980-02-26 10:10:00";"1980-02-26 11:10:00";"1980-02-26 11:40:00";"1980-02-26 13:05:00";"1980-02-26 17:10:00";"1980-03-04";"1980-03-04 05:10:00";"1980-03-04 05:35:00";"1980-03-04 06:10:00";"1980-03-04 09:42:00";66.8;19.1;3182.2;36.8;1.7;6.7;25.2;6.1;2139.5;72.5;80.3;81.8;32.3;29.5;30;60;30;330;25;60;272;35;212
998.0;3511.7;1004.2;1421.9;"1980-03-03";"1980-03-03 07:17:00";"1980-03-03 07:44:00";"1980-03-03 08:44:00";"1980-03-03 09:10:00";"1980-03-03 07:10:00";"1980-03-03 11:25:00";"1980-03-09";"1980-03-09 12:50:00";"1980-03-09 13:12:00";"1980-03-09 13:40:00";"1980-03-09 17:15:00";64.3;20.1;3360.5;34.7;1.7;6.7;25.2;6.1;1952.5;72.1;80.4;80.9;31.2;29.5;27;60;26;135;22;50;265;28;215
990.9;3498.7;984.7;1381.9;"1980-03-03";"1980-03-03 13:30:00";"1980-03-03 14:00:00";"1980-03-03 15:00:00";"1980-03-03 15:20:00";"1980-03-03 13:40:00";"1980-03-03 18:15:00";"1980-03-10";"1980-03-10 05:45:00";"1980-03-10 06:10:00";"1980-03-10 06:40:00";"1980-03-10 09:50:00";69.4;19.2;3348.4;34.6;1.6;6.8;26.3;6.0;1991.5;72.7;80.3;81.1;29.5;29.5;30;60;20;175;25;55;245;30;190
999.5;3379.7;947.9;1332.9;"1980-03-04";"1980-03-04 06:20:00";"1980-03-04 06:50:00";"1980-03-04 07:50:00";"1980-03-04 08:30:00";"1980-03-04 06:45:00";"1980-03-04 11:55:00";"1980-03-10";"1980-03-10 12:00:00";"1980-03-10 12:20:00";"1980-03-10 12:52:00";"1980-03-10 16:17:00";67.2;19.4;3228.5;36.0;1.7;6.7;25.9;6.0;2007.5;72.5;80.2;81.2;30.7;29.5;30;60;40;205;20;52;257;32;205
954.1;3437.7;900.5;1271.9;"1980-03-04";"1980-03-04 09:05:00";"1980-03-04 09:40:00";"1980-03-04 10:40:00";"1980-03-04 11:10:00";"1980-03-04 13:10:00";"1980-03-04 17:30:00";"1980-03-11";"1980-03-11 05:15:00";"1980-03-11 05:40:00";"1980-03-11 06:15:00";"1980-03-11 09:10:00";68.7;19.2;3292.0;34.0;1.6;6.7;26.7;6.0;2117.5;72.1;80.2;80.9;31.3;29.5;35;60;30;380;25;60;235;35;175
973.6;3365.7;1037.6;1459.9;"1980-03-08";"1980-03-08 08:20:00";"1980-03-08 08:50:00";"1980-03-08 09:50:00";"1980-03-08 10:10:00";"1980-03-08 07:40:00";"1980-03-08 12:00:00";"1980-03-14";"1980-03-14 12:35:00";"1980-03-14 13:15:00";"1980-03-14 13:45:00";"1980-03-14 17:00:00";68.3;21.3;3217.8;35.3;1.6;6.7;26.8;6.1;1867.5;72.6;80.3;81.1;31.3;29.5;30;60;20;110;40;70;265;30;195
937.6;3527.7;916.9;1302.9;"1980-03-08";"1980-03-08 14:55:00";"1980-03-08 15:22:00";"1980-03-08 16:22:00";"1980-03-08 16:35:00";"1980-03-08 14:50:00";"1980-03-08 18:35:00";"1980-03-15";"1980-03-15 05:10:00";"1980-03-15 05:42:00";"1980-03-15 06:15:00";"1980-03-15 09:40:00";67.8;20.1;3383.7;32.7;1.6;6.7;25.2;6.1;2062.5;71.7;80.1;80.9;31.4;29.5;27;60;13;120;32;65;270;33;205
973.2;3313.7;979.2;1381.9;"1980-03-09";"1980-03-09 08:15:00";"1980-03-09 08:40:00";"1980-03-09 09:40:00";"1980-03-09 10:55:00";"1980-03-09 07:15:00";"1980-03-09 11:55:00";"1980-03-15";"1980-03-15 12:10:00";"1980-03-15 12:30:00";"1980-03-15 13:00:00";"1980-03-15 16:30:00";68.7;20.2;3165.9;35.8;1.6;6.7;25.7;6.1;2007.5;72.3;81.1;81.2;29.5;29.5;25;60;75;60;20;50;260;30;210
982.3;3343.7;949.0;1345.9;"1980-03-09";"1980-03-09 13:50:00";"1980-03-09 14:17:00";"1980-03-09 15:17:00";"1980-03-09 15:35:00";"1980-03-09 14:15:00";"1980-03-09 18:10:00";"1980-03-16";"1980-03-16 04:49:00";"1980-03-16 05:21:00";"1980-03-16 05:53:00";"1980-03-16 09:27:00";68.8;20.1;3194.7;35.8;1.6;6.8;25.7;6.1;2043.5;71.9;80.0;81.4;32.2;29.5;27;60;18;155;32;64;278;32;214
1009.8;3433.7;945.1;1328.9;"1980-03-10";"1980-03-10 08:05:00";"1980-03-10 08:35:00";"1980-03-10 09:35:00";"1980-03-10 10:50:00";"1980-03-10 06:50:00";"1980-03-10 11:30:00";"1980-03-16";"1980-03-16 11:50:00";"1980-03-16 12:10:00";"1980-03-16 12:45:00";"1980-03-16 16:00:00";68.3;20.1;3281.1;35.8;1.7;6.7;25.2;6.1;2147.5;72.5;80.6;80.6;32.1;29.5;30;60;75;40;20;55;250;35;195
961.0;3323.7;1025.7;1444.9;"1980-03-11";"1980-03-11 06:20:00";"1980-03-11 06:45:00";"1980-03-11 07:45:00";"1980-03-11 08:35:00";"1980-03-11 07:00:00";"1980-03-11 11:57:00";"1980-03-17";"1980-03-17 12:00:00";"1980-03-17 12:12:00";"1980-03-17 12:45:00";"1980-03-17 16:20:00";69.0;19.9;3177.4;35.3;1.6;6.7;26.9;6.0;1978.5;72.5;80.8;81.2;31.3;29.5;25;60;50;202;12;45;260;33;215
914.0;3373.7;913.7;1301.9;"1980-03-15";"1980-03-15 07:20:00";"1980-03-15 07:53:00";"1980-03-15 08:53:00";"1980-03-15 09:10:00";"1980-03-15 08:55:00";"1980-03-15 13:42:00";"1980-03-21";"1980-03-21 14:13:00";"1980-03-21 14:40:00";"1980-03-21 15:10:00";"1980-03-21 18:17:00";68.3;22.1;3233.0;33.3;1.5;6.7;25.2;6.0;2257.5;71.5;80.0;80.2;31.3;29.3;33;60;17;272;27;57;244;30;187
958.0;3473.7;972.4;1377.9;"1980-03-15";"1980-03-15 13:35:00";"1980-03-15 14:00:00";"1980-03-15 15:00:00";"1980-03-15 15:30:00";"1980-03-15 16:15:00";"1980-03-15 20:40:00";"1980-03-22";"1980-03-22 05:00:00";"1980-03-22 05:30:00";"1980-03-22 06:05:00";"1980-03-22 09:37:00";68.3;19.2;3327.4;33.8;1.6;6.7;26.4;6.0;2257.5;72.0;80.5;81.4;31.3;29.3;25;60;30;310;30;65;277;35;212
958.0;3473.7;1009.7;1431.9;"1980-03-16";"1980-03-16 07:20:00";"1980-03-16 07:47:00";"1980-03-16 08:47:00";"1980-03-16 09:15:00";"1980-03-16 07:17:00";"1980-03-16 12:11:00";"1980-03-22";"1980-03-22 12:22:00";"1980-03-22 12:37:00";"1980-03-22 13:11:00";"1980-03-22 16:59:00";68.8;21.2;3327.4;33.8;1.6;6.7;25.7;6.1;2257.5;72.0;80.0;81.4;31.3;29.3;27;60;28;176;15;49;277;34;228
958.0;3473.7;928.1;1324.9;"1980-03-16";"1980-03-16 13:10:00";"1980-03-16 13:40:00";"1980-03-16 14:40:00";"1980-03-16 15:15:00";"1980-03-16 14:30:00";"1980-03-16 19:05:00";"1980-03-23";"1980-03-23 04:45:00";"1980-03-23 05:15:00";"1980-03-23 05:47:00";"1980-03-23 09:05:00";68.3;19.9;3327.4;33.8;1.6;6.7;26.0;6.0;2237.5;71.4;80.5;80.2;31.3;29.3;30;60;35;230;30;62;260;32;198
901.0;3273.7;842.1;1212.9;"1980-03-16";"1980-03-16 11:20:00";"1980-03-16 11:50:00";"1980-03-16 13:34:00";"1980-03-16 14:30:00";"1980-03-16 14:30:00";"1980-03-16 19:05:00";"1980-03-29";"1980-03-29 05:05:00";"1980-03-29 05:35:00";"1980-03-29 06:10:00";"1980-03-29 09:15:00";67.8;20.4;3134.8;33.8;1.5;6.7;25.7;6.0;2037.5;70.6;81.3;80.1;31.2;29.5;30;104;56;275;30;65;250;35;185
929.5;3373.7;1009.7;1431.9;"1980-03-17";"1980-03-17 07:12:00";"1980-03-17 07:40:00";"1980-03-17 08:40:00";"1980-03-17 08:55:00";"1980-03-17 07:10:00";"1980-03-17 12:12:00";"1980-03-23";"1980-03-23 12:30:00";"1980-03-23 12:55:00";"1980-03-23 13:25:00";"1980-03-23 17:00:00";68.6;20.1;3231.1;33.8;1.5;6.7;25.2;6.1;2457.5;72.0;80.5;80.4;62.0;29.3;28;60;15;197;25;55;270;30;215
929.5;3373.7;913.7;1303.9;"1980-03-17";"1980-03-17 14:05:00";"1980-03-17 14:30:00";"1980-03-17 15:30:00";"1980-03-17 16:10:00";"1980-03-17 14:45:00";"1980-03-17 19:15:00";"1980-03-24";"1980-03-24 04:38:00";"1980-03-24 05:15:00";"1980-03-24 05:47:00";"1980-03-24 09:05:00";68.4;19.7;3231.1;33.8;1.5;6.7;25.9;6.1;2457.5;71.4;80.5;80.4;30.3;29.3;25;60;40;185;37;69;267;32;198
937.0;3273.7;1038.4;1454.9;"1980-03-17";"1980-03-17 06:10:00";"1980-03-17 06:36:00";"1980-03-17 07:36:00";"1980-03-17 08:00:00";"1980-03-17 07:30:00";"1980-03-17 11:50:00";"1980-03-29";"1980-03-29 11:30:00";"1980-03-29 11:53:00";"1980-03-29 12:26:00";"1980-03-29 16:05:00";68.7;20.1;3130.4;35.0;1.6;6.8;25.2;6.0;1857.5;72.9;81.0;82.6;31.2;29.5;26;60;24;230;23;56;275;33;219
1010.6;3543.7;882.0;1253.9;"1980-03-17";"1980-03-17 09:35:00";"1980-03-17 10:05:00";"1980-03-17 11:05:00";"1980-03-17 11:45:00";"1980-03-17 14:05:00";"1980-03-17 18:50:00";"1980-03-30";"1980-03-30 05:05:00";"1980-03-30 05:35:00";"1980-03-30 06:10:00";"1980-03-30 09:20:00";68.8;18.6;3390.9;34.8;1.7;6.8;25.2;6.0;2007.5;71.6;80.9;81.1;32.1;29.5;30;60;40;425;30;65;255;35;190
